ticker,moat,understandability,balance_sheet_health,marketcap,pe_ratio
GWLIF,3,4,3,30.3B,11.8
STZ,3,2,3,33.4B,49.2
HMC,3,3,4,43.3B,7.1
AZN,3,3,4,207.5B,32.3
AEP,3,2,3,51.6B,19.5
TGT,2,2,4,61.1B,14.1
GS,3,4,4,192.4B,15.1
BKNG,3,2,4,161.0B,32.9
QCOM,3,4,4,179.3B,18.1
BR,3,3,4,27.0B,40.0
ARES,3,3,4,58.8B,85.4
NU,3,2,4,54.2B,31.3
SW,3,3,4,27.2B,72.5
MET,2,4,4,59.5B,17.4
LI,2,3,3,23.3B,16.9
XEL,3,2,3,38.0B,19.6
EW,3,3,5,41.2B,27.0
MDT,3,3,4,111.8B,26.7
TRP,4,3,3,48.1B,13.5
GOLD,2,3,4,27.6B,17.1
CUK,2,3,2,29.1B,15.7
LOW,3,2,3,146.1B,21.5
ASML,4,4,5,295.0B,41.5
TPL,4,4,5,32.0B,71.4
KLAC,3,3,4,100.0B,34.1
FTNT,4,2,5,72.1B,47.3
AFL,2,3,4,58.8B,15.7
SO,3,1,2,91.9B,19.6
ADP,4,3,4,120.7B,31.6
NVR,3,2,4,25.6B,17.1
URI,2,2,3,49.7B,19.8
BHP,2,4,4,126.4B,15.9
BRO,3,2,4,30.3B,28.9
PSX,2,3,4,49.4B,15.3
ENB,2.5,3,3,96.2B,21.5
EPD,3,2,4,73.0B,12.7
MUFG,2,4,3,140.3B,12.2
GOOGL,4,2,5,2.4T,25.6
CTA-PA,3,4,4,48.1B,
HPE,2,3,4,30.8B,12.1
ICE,4,3,4,86.3B,35.7
PDD,3,4,4,139.2B,10.0
CVNA,2,3,2,27.1B,
MBGYY,2,3,4,55.9B,5.2
EADSY,2,2,3,127.3B,38.1
HDELY,2,2,4,24.1B,12.2
SPG,3,2,4,64.8B,23.0
CVS,2.5,2,3.5,65.4B,13.2
LIN,4,3,4,205.9B,32.8
ITUB,3,2,4,48.9B,8.0
WDS,2,4,3,30.6B,16.5
TEL,2,3,4,43.0B,13.9
UAL,2,2,2,34.9B,12.6
MU,3,3,4,114.3B,29.4
TXN,3,2,5,170.9B,34.8
WCN,4,2,4,46.0B,49.1
ZTS,3.5,2,4,76.4B,31.8
F,2,2,3,39.8B,11.4
APH,2,3,4,84.2B,39.9
VEEV,3,2,5,34.9B,52.9
NTDTY,1,2,2,26.3B,29.8
IT,2,3,4,39.5B,37.9
TRGP,2,3,3,46.4B,38.4
WIT,2,3,4,34.8B,25.4
ZM,2,3,4,24.3B,26.4
CSCO,3,4,4,238.2B,25.7
AON,3,3,4,79.6B,31.5
BN,3,4,2,87.3B,125.2
APP,2,3,4,111.4B,100.9
COP,3,3,4,136.6B,12.5
SYY,3,1,4,36.0B,18.8
SNY,3,3,4,127.2B,27.4
RMD,3,2,4,34.8B,31.4
GLD,1,1,5,,
HSY,3,2,4,31.2B,17.7
HSBC,2,3,4,181.5B,8.3
EFX,4,2,4,32.8B,58.9
EOG,3,3,5,77.6B,11.1
EQNR,3,4,4,68.5B,7.7
CRARY,2,2,4,43.2B,6.9
CNQ,3,3,4,65.4B,12.6
MELI,4,3,4,93.1B,65.4
WMT,3,2,4,733.4B,37.7
ADM,3,3,4,24.4B,14.3
NVO,3,3,4,371.1B,28.4
MSFT,4,3,5,3.2T,35.1
TROW,3,2,5,24.9B,12.3
CHT,3,2,4,29.2B,26.5
MSI,3,3,4,77.3B,50.7
YUM,3,2,4,35.2B,23.6
CPRT,2,2,4,54.3B,39.4
TW,3,4,5,28.6B,62.8
CNI,3,3,4,64.4B,17.3
PAYX,3,2,4,52.9B,31.0
INFY,3,2,4,92.4B,27.3
WDAY,3,3,5,66.7B,41.2
AEM,2,3,4,42.4B,42.5
ARM,4,3,5,155.0B,245.9
HBAN,2,3,3,24.5B,16.3
FUJIY,2,3,4,25.1B,49.4
WTW,3,4,4,32.4B,
MRAAY,3,3,3,28.1B,23.6
FITB,2,2,4,28.7B,14.4
UBER,2,3,4,144.4B,33.8
HIG,3,3,4,32.6B,11.3
PSA,3,1,4,52.2B,30.8
FMX,2.5,3,3.5,147.5B,41.1
REGN,4,4,5,76.2B,17.2
PNC,2,4,3,77.8B,14.3
SMPNY,2,3,4,25.4B,7.4
EXC,2,2,3,39.5B,16.2
NXPI,3,4,4,53.6B,20.1
AZO,4,3,3,53.6B,21.4
TRI,3,3,4,71.5B,32.1
GBTC,2,3,5,,
BCS,2,4,3,50.4B,10.2
C,1.5,3,3,147.4B,13.2
MPWR,4,3,5,29.1B,67.1
LYV,3,2,3,30.8B,150.1
VTR,2,3,3,24.5B,
SNPS,3,3,4,79.7B,55.9
ADI,4,3,4,106.7B,65.4
KVUE,2,3,4,40.6B,38.5
NFLX,3,2,4,360.1B,47.6
CDW,3,2,4,25.0B,22.9
TMO,4,3,4,214.9B,35.2
CDNS,4,3,4,82.0B,78.7
ORCL,4,3,4,446.2B,39.1
MSCI,4,3,4,47.8B,40.0
CMI,2,3,4,50.3B,24.0
ABT,3,2,4,197.6B,34.6
SCCO,2,2,4,77.0B,25.4
BK,2,4,4,59.0B,14.2
MRVL,2,4,4,101.7B,
NVS,4,3,4,198.5B,17.1
RSG,3.5,2.5,4.5,66.4B,33.9
HCA,3,3,3,78.4B,13.9
CTVA,3,3,4,42.4B,64.2
PFE,3,3,4,150.1B,35.3
VALE,2,3,4,37.4B,4.1
DTE,3,3,3,25.5B,16.7
PTCAY,3,2,4,54.2B,
ING,2,3,4,50.8B,7.8
NTAP,3,3,4,24.4B,22.1
FERG,3,2,4,35.4B,21.2
COF,3,3,4,71.8B,17.8
CRWD,3.5,3,4,89.5B,712.5
BX,3,3,4,214.3B,60.5
PYPL,2,3,3,89.1B,21.3
AMD,2,4,3,192.2B,104.8
LHX,3,3,4,41.4B,34.5
PCAR,3.5,2,5,57.4B,12.2
SMFG,2,4,4,95.5B,13.0
OLCLY,4,2,5,35.3B,50.1
GIS,3,2,3,32.6B,12.9
PHM,2,2,3,24.0B,8.6
COIN,2,3,3,70.5B,47.8
OTIS,3,2,4,37.2B,23.2
EQIX,3,4,3,88.8B,82.6
IOT,2,3,3,25.7B,
SHOP,4,3,5,134.4B,96.7
ANET,3,4,5,148.8B,56.8
BNPQY,3,4,4,72.4B,7.4
KDP,3,2,3,42.4B,18.8
JPM,3,4,3,711.3B,12.9
NOC,4,3,4,70.1B,29.7
STLA,2,3,4,36.5B,2.8
SE,3,4,3,64.1B,744.2
PANW,3,3,4,116.3B,45.9
DE,3,2,3,119.6B,17.2
CVE,2,3,3,27.2B,10.7
LLY,4,2,4,681.3B,82.0
META,3,2,4,1.5T,28.8
CSX,3,2,4,63.6B,17.5
TD,3,2,4,97.2B,16.8
TEVA,2,4,2,24.6B,
BUD,3,2,2,91.6B,14.7
RCIT,2,3,4,278.9B,
TSLA,3,4,4,1.3T,113.7
WELL,3,3,4,80.2B,82.0
TEF,2.5,3,3,23.0B,
BIDU,3,4,4,28.5B,10.8
EA,3,2,4,37.1B,36.3
HES,3,2,4,46.1B,17.5
SYK,4,3,4,145.5B,41.0
ERIC,2,3,4,28.3B,
STT,3,4,3,29.5B,15.8
DFS,2,3,4,46.5B,12.6
RIO,3,3,4,97.8B,9.1
SAP,3,3,4,305.1B,109.9
GILD,3,4,5,114.2B,1018.3
PGR,2.5,2,3,143.8B,17.9
IQV,3,4,3,35.9B,26.0
EQR,2,2,3,27.5B,29.6
DEO,3,2,4,65.2B,17.0
WBD,2,3,2,23.2B,
T,2,3,3,158.0B,17.9
GE,2,4,3,194.5B,35.5
AMX,3,3,4,42.8B,23.8
NEE,3,4,3,146.8B,21.2
RY,3,2,4,170.7B,15.3
CVX,3,3,4,284.2B,17.5
TFC,2,3,4,59.7B,
SBUX,3,2,4,107.1B,28.5
ORLY,3.5,2,4,69.5B,29.8
MDLZ,3,2,3,77.6B,20.6
COST,4,2,4,408.3B,54.0
ROK,3,3,4,31.8B,33.9
DUK,3,2,3,84.2B,19.6
RCL,2.5,2,2,62.7B,23.4
JCI,3,2,4,53.3B,38.7
GLW,3,3,4,42.2B,259.2
HLT,3,2,2,60.1B,52.6
DHI,2,2,4,47.0B,10.2
TCOM,2,3,4,42.8B,23.3
NVDA,4,3,5,3.3T,52.6
PBR,2,4,3,84.7B,5.4
CCEP,3,2,4,35.0B,21.1
STM,2,3,4,22.3B,10.2
PPERY,2,3,4,33.3B,9.4
IBN,3,3,4,102.0B,18.8
ETR,3,3,3,34.9B,19.8
SHW,3,2,3,89.2B,35.2
ARGX,4,3,5,39.6B,
TDG,4,3,2,74.3B,51.5
BSBR,1.5,3,2.5,31.4B,15.6
RYAAY,2,2,4,22.4B,22.8
CNC,2,4,3,31.7B,10.9
MFG,2,3,4,64.3B,12.1
GD,3,2,4,73.9B,20.5
BDX,3.5,4,4,68.5B,40.3
BSX,3,2,4,144.7B,81.1
CMG,3,2,4,79.5B,54.0
NUE,3,3,4,29.0B,11.9
USB,2.5,2.5,4.5,74.9B,12.7
ED,3,1,4,32.0B,17.3
AME,3,3,4,41.8B,31.6
VMC,3,2,3,35.5B,42.0
AVB,2,3,4,31.0B,29.8
ATEYY,2,2,4,43.6B,65.1
MPC,2,3,4,48.8B,11.8
CTAS,3,2,4,79.9B,47.8
ETN,3,3,4,136.4B,36.8
ISRG,4,3,5,208.0B,94.4
ACGL,2,4,4,36.2B,6.4
DSCSY,3,3,4,31.0B,46.2
PWR,3,3,4,49.6B,62.1
QSR,3,2,3,27.4B,15.2
MCHP,3,3,4,30.2B,39.0
CARR,2,2,4,62.6B,41.0
PUBGY,3,3,5,25.3B,17.0
BABA,2,4,4,196.5B,17.2
JNJ,4,2,4,355.8B,24.5
SPOT,3,2,3,99.1B,140.9
CODYY,1,2,3,44.0B,14.9
AMGN,4,3,5,144.8B,34.4
FIS,2,3,3,42.4B,81.1
KKR,3,4,4,141.4B,47.4
TJX,3,2,4,136.5B,28.6
MTB,3,2,3,32.5B,13.4
TPG,2,4,4,24.2B,
MFC,2,4,3,53.9B,15.6
BA,2.5,4,2,126.4B,
DD,2,3,3,32.0B,59.9
WMB,3,3,4,72.1B,25.1
HUBB,3,2,4,23.3B,31.2
FANG,2,2,4,52.3B,10.3
WTKWY,3,2,4,41.1B,39.9
MPLX,3,2,4,51.8B,12.0
CPNG,2,2,4,40.2B,39.2
VZ,2,3,2,161.4B,16.6
WEC,3,2,4,31.1B,24.1
DECK,3,2,5,31.6B,36.8
GEHC,3,3,4,38.8B,23.3
GPN,2,3,4,27.8B,20.6
EMR,3,3,4,70.2B,43.7
DAL,2,2,2,42.7B,12.4
TMUS,3,2,3,250.4B,24.6
PPRUY,3,4,3,29.8B,14.0
SHEL,3,4,3,201.4B,13.5
AMAT,3,4,4,151.7B,21.6
DOW,2,3,4,28.6B,27.2
ABEV,3,2,4,29.6B,12.1
FTV,3,4,4,27.3B,31.5
ROP,3,3,4,55.7B,38.3
HEI,3,3,4,28.6B,64.0
DHR,4,3,4,174.7B,45.6
IBM,3,4,4,205.9B,32.5
SONY,3,3,4,123.3B,17.4
ADBE,4,3,4,185.8B,34.5
WAB,3,2,4,34.3B,33.2
HD,3,2,4,406.6B,27.8
AJG,3,3,4,73.9B,56.4
V,4,3,4,614.3B,32.6
PG,3,2,4,378.0B,27.7
OKE,2,3,3,63.3B,23.0
SVNDY,3,3,4,40.7B,60.4
NGG,3,2,3,57.9B,23.7
JD,2,3,4,58.0B,11.5
WFC,2,3,4,249.8B,14.1
APD,3,4,4,69.4B,18.1
DNZOY,2.5,4,4,38.8B,18.5
TTE,3,3,4,132.5B,8.3
CB,3,3,4,110.3B,11.2
BMWKY,3,2,4,49.2B,5.9
NSC,3,2,4,55.9B,23.2
HAL,2,4,3,25.7B,10.2
AIQUY,2,3,4,93.7B,30.1
PPL,2,2,3,24.5B,29.9
GDDY,2,2,4,28.2B,16.1
DELL,2.5,2,4,76.8B,19.5
SAN,2,3,3,74.6B,6.4
PEP,3,2,4,201.1B,21.6
IAU,1,1,5,,
GEV,2,4,3,107.8B,92.7
GWW,3,2,4,54.1B,30.1
BBVA,2,3,4,61.5B,6.5
AVGO,3,3,3,1.1T,179.2
IDXX,4,3,5,35.1B,41.3
NVZMY,2,3,4,25.8B,58.1
ELV,3,3,4,89.4B,14.0
EQT,3,3,3,32.1B,71.7
SPGI,4,3,4,156.8B,44.6
FICO,3,3,4,48.0B,96.2
HPQ,2,3,4,30.3B,11.5
EXR,3,3,4,33.4B,40.5
TTWO,2,2,4,32.2B,
ANYYY,2,3,4,30.3B,15.2
MA,4,2,5,480.2B,39.5
LNG,2,3,2,56.9B,16.1
LYG,2,2,3,42.5B,8.3
AIG,2,4,4,46.5B,14.8
INTU,4,2,4,170.0B,59.2
IX,2,4,3,23.3B,9.2
BMY,3,3,4,114.3B,
CEG,3,3,4,98.6B,34.7
K,3,2,3,28.1B,27.3
TTD,3,2,5,59.6B,194.9
NDAQ,3,3,5,45.1B,47.2
MMC,3,3,4,106.2B,26.7
IRM,3,2,3,32.4B,306.2
RKT,2,3,3,23.3B,
GFS,3,4,4,22.6B,31.0
BNTX,3,4,5,27.0B,
ECL,4,2,4,67.7B,33.5
ABBV,4,3,3,307.0B,60.5
CTSH,2,3,4,38.4B,17.1
AMZN,3,2,4,2.3T,47.1
HON,3,4,4,144.8B,25.7
ANZGY,4,2,3,55.6B,13.9
HWM,3,3,4,50.0B,47.5
VRTX,4,3,5,107.4B,
HOOD,2,3,4,40.7B,79.4
OXY,2.5,3,3,49.1B,14.3
CPAY,3,2,4,25.8B,26.4
SHECY,2,3,4,65.5B,20.2
NKE,3,2,4,105.2B,21.9
BAC,2,3,3,355.0B,14.5
IBKR,3,4,5,79.5B,29.3
O,3,2,4,47.8B,52.0
DKILY,3,3,4,34.5B,20.7
RELX,4,3,4,88.8B,39.0
HUM,3,3,3,33.2B,24.0
ANSS,4,3,5,30.1B,53.2
DLR,3,4,4,60.9B,147.6
PRU,3,3,4,42.1B,10.6
VLTO,3,3,4,25.7B,32.1
DIS,3,3,3,192.8B,39.3
GSK,3,3,4,68.2B,22.6
KMI,2,3,3,66.8B,26.6
DOV,3,2,4,26.7B,17.7
AXON,3,2,4,44.7B,151.4
CAIXY,3,2,4,40.5B,7.8
AAPL,4,3,5,3.4T,37.6
IMO,2,3,4,36.1B,10.8
FER,2,3,3,30.0B,39.0
FRFHF,3,4,3,31.4B,8.4
HLN,2,3,3,41.6B,28.7
MNST,3,2,5,48.3B,31.8
LYB,2,3,3.5,24.9B,11.6
ROST,2,2,5,49.2B,23.5
ALC,3,3,4,41.6B,36.0
DB,1,4,2,36.5B,9.6
PLTR,2,3,4,157.7B,346.2
CME,3,2,5,83.7B,24.5
NWG,2,3,4,40.7B,8.0
AEE,2,2,3,25.1B,22.1
MDY,2,2,4,,20.0
CHD,3,2,4,26.0B,47.7
MCD,3,1,4,200.5B,24.6
MTD,3,2,4,27.4B,35.0
KEYS,3,4,4,28.6B,46.9
LULU,3,2,4,45.2B,26.8
FCNCA,2,3,4,29.8B,12.3
GRMN,3,2,4,41.2B,27.3
RDDT,2,3,4,30.7B,
KHC,2,2,2,35.0B,26.1
KMB,3,2,4,42.2B,16.4
SQ,3,3,4,53.5B,51.7
BMO,3,3,4,72.8B,14.9
INTC,2,3,4,84.8B,
CL,3,1,4,72.4B,25.4
KR,2,2,3,42.4B,15.5
DXCM,4,3,4,33.1B,51.4
D,2,2,2,46.3B,20.3
RTNTF,3,4,4,121.1B,11.4
NOW,3,3,4,218.1B,163.9
CRH,3,2,4,64.7B,19.2
WPM,2.5,3,4,26.2B,42.6
TYL,3,3,4,24.6B,105.2
TT,3,2,4,87.5B,35.6
UPS,3,2,4,110.9B,19.7
MCO,4,2,4,86.8B,43.9
BKR,3,2,4,45.8B,20.8
GM,2,2,3,57.0B,5.5
COR,3,3,4,46.6B,31.9
BNS,2,3,4,70.4B,12.6
PM,3,2,4,186.3B,19.0
MO,3,2,3,86.7B,8.6
TRV,3,2,4,55.0B,12.5
NEM,3,2,4,47.4B,
AMP,3,3,4,53.0B,20.9
DDOG,3,3,4,46.5B,248.7
PTC,3,4,4,22.5B,59.9
BRK-B,4,3,5,997.3B,9.4
BP,1,3,4,83.5B,31.8
AXP,4,2,4,219.4B,22.9
